product_id,sku,product_name,category,manufacturer,launch_date,list_price_cop
1,TM-00001,UrbanTech Air 5+,Wearables,UrbanTech,04/11/2023,$3.976.287
2,TM-00002,TecnoPlus Max 6,Telefonos,TecnoPlus,2024-08-05,$ 4.554.433
3,TM-00003,UrbanTech X 5+,Tablets,UrbanTech,"Jan 12, 2025",$ 3.856.110
4,TM-00004,SmartGear Go 5+,WEARABLES,SmartGear,2021-12-25,942.638
5,TM-00005,NeoGadgets Max 3+,Tablets,NeoGadgets,03-Sep-2023,1.332.108
6,TM-00006,QuantumX Lite 1,Telefonos,QuantumX,2020-05-04,2.769.218
7,TM-00007,SunDigital X 4+,ACCESORIOS,SunDigital,"May 27, 2023",$ 2.058.671
8,TM-00008,ElectroNova Air 3,Audio,ElectroNova,2021-05-20,$630.596
9,TM-00009,MegaDevices Max 9+,Wearables,MegaDevices,06-06-2021,"1,435,185"
10,TM-00010,AlphaMobile Go 5S,Wearables,AlphaMobile,03/01/2024,"1,737,377"
11,TM-00011,SunDigital Lite 2,Audio,SunDigital,"Mar 08, 2020",$4.391.740
12,TM-00012,ElectroNova Air 9,Accesorios,ElectroNova,31/05/2023,$226.448
13,TM-00013,AlphaMobile Go 1,Telefonos,AlphaMobile,27-Oct-2021,$645.533
14,TM-00014,TecnoPlus Air 4S,Accesorios,TecnoPlus,27/10/2022,$ 644.394
15,TM-00015,MegaDevices Pro 8,Tablets,MegaDevices,30-Jun-2021,"$4.573.422,83"
16,TM-00016,MegaDevices X 2+,Audio,MegaDevices,04/01/2025,$ 1.647.274
17,TM-00017,SunDigital Lite 1+,Audio,SunDigital,08/11/2021,3.498.575
18,TM-00018,ElectroNova Go 6,Telefonos,Electro Nova,12-09-2024,"$3,427,432"
19,TM-00019,AlphaMobile Lite 3S,Tablets,AlphaMobile,2020-01-25,4.548.690
20,TM-00020,BlueWave X 8+,Audio,BlueWave,2024-10-22,$ 2.145.528
21,TM-00021,TecnoPlus X 4,Wearables,Tecno+,2022-11-20,$ 173.797
22,TM-00022,MegaDevices Lite 1,AUDIO,MegaDevices,"Jan 04, 2024",1.843.042
23,TM-00023,TecnoPlus Lite 5S,Audio,TecnoPlus,"Jun 21, 2022","$2,274,684"
24,TM-00024,QuantumX Pro 5,Audio,QuantumX,10-31-2022,$1.348.529
25,TM-00025,NeoGadgets Go 6,Wearables,NeoGadgets,2022-11-19,561.349
26,TM-00026,NeoGadgets Air 3,AUDIO,NeoGadgets,"Sep 21, 2024","4,268,214"
27,TM-00027,ElectroNova Air 2+,TABLETS,ElectroNova,08/12/2021,"624,798"
28,TM-00028,AlphaMobile Air 4+,Audio,AlphaMobile,07-25-2021,"$1.055.681,35"
29,TM-00029,TecnoPlus Lite 9S,WEARABLES,TecnoPlus,06-04-2021,"$737.726,71"
30,TM-00030,BlueWave Pro 5S,Tablets,BlueWave,06-19-2021,$ 2.685.565
31,TM-00031,BlueWave X 1S,Audio,BlueWave,2022-05-25,"2,702,286"
32,TM-00032,NeoGadgets Air 4+,Telefonos,NeoGadgets,18-Aug-2024,"664,555"
33,TM-00033,SmartGear Pro 6S,Accesorios,SmartGear,06-Mar-2021,"627,063"
34,TM-00034,MegaDevices Air 9,Wearables,MegaDevices,12-05-2024,"2,587,697"
35,TM-00035,QuantumX Pro 5,ACCESORIOS,QuantumX,2023-11-10,$918.946
36,TM-00036,ElectroNova Max 5+,Wearables,ElectroNova,31-Aug-2022,1.353.991
37,TM-00037,SunDigital Air 8S,Tablets,SunDigital,22/06/2023,"2,264,457"
38,TM-00038,TecnoPlus Max 1,TELEFONOS,Tecno+,11-Jul-2022,3.603.211
39,TM-00039,SmartGear Go 8+,Accesorios,SmartGear,2020-08-07,"$1,405,447"
40,TM-00040,UrbanTech X 2+,Wearables,UrbanTech,08-07-2023,$131.115
41,TM-00041,SmartGear Max 9,Wearables,SmartGear,08-May-2021,352.225
42,TM-00042,SmartGear Max 1S,Telefonos,SmartGear,09/09/2020,2.635.858
43,TM-00043,AlphaMobile Air 7+,TELEFONOS,AlphaMobile,"Jan 04, 2023","3,016,871"
44,TM-00044,SmartGear Pro 7,Tablets,Smart Gear,25-Oct-2022,1.413.163
45,TM-00045,SunDigital Max 3+,Audio,SunDigital,09-15-2023,"2,131,777"
46,TM-00046,UrbanTech Pro 4S,Telefonos,UrbanTech,25-Nov-2024,"3,998,434"
47,TM-00047,BlueWave X 4S,TABLETS,BlueWave,"Feb 14, 2024",1.920.018
48,TM-00048,BlueWave Max 9S,Telefonos,BlueWave,04-Jul-2024,$ 2.391.470
49,TM-00049,QuantumX X 5,ACCESORIOS,QuantumX,09-Mar-2023,$281.530
50,TM-00050,BlueWave Air 7S,Telefonos,BlueWave,21-May-2022,$ 959.346
51,TM-00051,SunDigital X 7+,Audio,SunDigital,16-Dec-2022,"4,340,127"
52,TM-00052,BlueWave X 9+,TELEFONOS,BlueWave,09/05/2024,3.707.915
53,TM-00053,AlphaMobile X 6+,Accesorios,Alpha Mobile,17-Dec-2024,3.667.984
